program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2030,2030 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2030,2030 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2030,2030 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2030,2030 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2015,2015 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2015,2015 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2015,2015 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2015,2015 Q4,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2016,2016 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2016,2016 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2016,2016 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2016,2016 Q4,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2017,2017 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2017,2017 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2017,2017 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2017,2017 Q4,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2018,2018 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2018,2018 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2018,2018 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2018,2018 Q4,183861,19742.35,3
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2019,2019 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2019,2019 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2019,2019 Q3,1,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2019,2019 Q4,1495,190.12,1
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2020,2020 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2020,2020 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2020,2020 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2020,2020 Q4,20145,1619.76,4
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2021,2021 Q1,-13536,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2021,2021 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2021,2021 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2021,2021 Q4,0,243.9,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2022,2022 Q1,-25085,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2022,2022 Q2,25427,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2022,2022 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2022,2022 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2023,2023 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2023,2023 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2023,2023 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Municipal Streetlight,No,Yes,Market Rate,Active,2023,2023 Q4,0,0,0
